289,,,,,289,,,,,289,,,,289,,,,,,,289,,"ไม่สนใจส่วนใหญ่ โควตาหมดไว เลยไม่ค่อยได้ใช้ระบบ หรือออกจาก สปสช. AIติดภาษาถิ่น"""
รายชื่อลูกค้า,,,,,ติดตามสถานะ PresScribe AI,,,,,ติดตามสถานะ iService,,,,สถานะโทรเชิญชวน,,,,,,,สถานะโทรเชิญชวน MED AI,,
ลำดับ,รหัสหน่วยบริการ,ชื่อลูกค้า,  จังหวัด,BD,สถานะ Provider ID,สถานะการใช้งานระบบ AI,วันที่ปรับสถานะ,หมายเหตุ,Feedback, สถานะ BD,วันที่ปรับสถานะ,หมายเหตุ,Feedback, สถานะโทรติดตาม,รหัสหน่วยบริการ,ai,service, ,หมายเหตุ,Service ที่มี,MED AI,วันที่ติดต่อล่าสุด,feedback
209,55649,พูลพิพัฒน์ คลินิกเวชกรรม,พระนครศรีอยุธยา,อริสรา ส่วนบุญ,-,-,,,,2. นำส่ง User ให้ลูกค้าเเล้ว,,,,สนใจ iService,55649,ไม่สนใจ AI,สนใจ iService,13/2/2026,"ไม่รับสาย
30/1/2026 ตัดสาย
13/02/26 ไม่รับสาย",มี iservice,0.ยังไม่ได้ติดต่อ,,
210,CA0000671,คลินิกเวชกรรมหมอฟารุค,นราธิวาส,ชลธิชา ช่วยพันธ์,1.1 ส่งให้ลูกค้ากรอก,อยู่ระหว่างสมัคร Provider ID,04/02/2026,รอหมอกรอกข้อมูล Provider ID,,2. นำส่ง User ให้ลูกค้าเเล้ว,16/2/2026,"11/02/26 เปิดระบบให้กับลูกค้าเรียบร้อยแล้ว รอทางคลินิกเข้ามาทดลองใช้งาน
16/2/2026 คุณหมอแจ้งว่ายังไม่มีเวลาในการทดลองใช้งาน",,สนใจ AI+iService,CA0000671,สนใจ AI,สนใจ iService,22/1/2026,"สนใจทั้ง 2 ระบบ
16/2/2026 คุณหมอแจ้งว่ายังไม่มีเวลาในการทดลองใช้งาน",มี iservice,0.ยังไม่ได้ติดต่อ,,
211,55655,รวมแพทย์ คลินิกเวชกรรม สาขาแม่สาย,เชียงราย,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,ติดต่อใหม่,55655,ติดต่อใหม่,ติดต่อใหม่,25/2/2026,"หมอโทรกลับมาเเจ้งว่า เดี๋ยวผมว่างผมโทรกลับไปนะ (เจ้าของเดียวกับหมอภูมิภัทร์)
30/1/2026 ไม่รับสาย
19/02/26 โทรไม่ติด
25/02/26 ไม่ติด ตู้ดๆ 16.49 น.",,0.ยังไม่ได้ติดต่อ,,
212,CA0000324,โยนกนครคลินิกเวชกรรม,เชียงใหม่,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,รอพิจารณา,CA0000324,รอพิจารณา,รอพิจารณา,15/1/2026,คุณหมอพูดภาษาเหนือ เเจ้งว่ายังไม่สะดวกค่า เดี๋ยวโทรกลับ / หมอโทรกลับมา อธิบายรายละเอียดเเล้ว,,0.ยังไม่ได้ติดต่อ,,
213,55544,อุ่นใจใกล้หมอคลินิกเวชกรรม,ลำปาง,อริสรา ส่วนบุญ,-,-,,,,2. นำส่ง User ให้ลูกค้าเเล้ว,19/2/2026,19/02/2026 ส่ง User ให้ลูกค้าแล้ว,,สนใจ iService,55544,ไม่สนใจ AI,สนใจ iService,22/1/2026,สนใจ iservice,มี iservice,0.ยังไม่ได้ติดต่อ,,
214,52869,ติณณาคลินิกเวชกรรม,เพชรบูรณ์,ธนาภรณ์ สายทองดี,-,-,,,,3. ลูกค้าทดลองใช้,18/2/2026,18/02/26 ส่ง User ให้ลูกค้าเเล้ว / ลูกค้าทดลองเข้าเเล้ว,,สนใจ iService,52869,ไม่สนใจ AI,สนใจ iService,22/1/2026,สนใจ iservice,มี iservice,0.ยังไม่ได้ติดต่อ,,
215,21393,พิมคลินิกเวชกรรม,กรุงเทพมหานคร,ปาณิสรา ตรีรัตนธำรง,-,-,,,,-,,,,รอพิจารณา,21393,รอพิจารณา,รอพิจารณา,13/1/2026,คุณหมอแจ้งว่าผมเคยฟัง Present มาแล้ว,,0.ยังไม่ได้ติดต่อ,,
216,49227,พิมคลินิกเวชกรรม สาขาสำโรง,สมุทรปราการ,ปาณิสรา ตรีรัตนธำรง,-,-,,,,2. นำส่ง User ให้ลูกค้าเเล้ว,16/2/2026,16/02/26 ตรวจสอบในระบบ เปิดระบบแล้ว,,สนใจ iService,49227,ไม่สนใจ AI,สนใจ iService,,คุณหมอแจ้งว่าผมเคยฟัง Present มาแล้ว มี iservice,มี iservice,0.ยังไม่ได้ติดต่อ,,
217,55058,คลินิกเวชกรรมนายแพทย์มุคลิซ,นราธิวาส,อริสรา ส่วนบุญ,3.มี Provider ID สำหรับคลินิกเเล้ว,5.1 Training การใช้งาน,23/02/2026,"อุปกรณ์พร้อมใช้งานเเล้ว พึ่งซื้อไมค์มาเพิ่ม รอทางทีมเพื่อทดลองใช้งานอีกครั้ง
11/09/205 ติดตามการใช้งาน คุณหมอบอหว่าครั้งที่เเล้ว เกิดปัญหาที่อุปกรณ์เลยที่ให้ไม่สามารถใช้งานได้ ปัจจุบันคุณหมอได้ซื้อไมค์มาใหม่ ให้ทางทีมติดต่อนัดหมายเทรนนิ่งใหม่อีกที  
10/02/2026 นัดหมายเทรนใหม่วันพฤหัส ที่ 12/02
19/02/26 เข้าเทรนนิ่งเเล้ว เเต่ติดปัญหา License หมดอายุ ทางพี่ส้มได้ติดต่อทาง Healthflow ขอต่ออายุ License รอคอนเฟิร์มนัดหมายใหม่
26/02/26 หมอยังไม่มีเวลาเทรนนิ่ง",,-,,,,สนใจ AI,55058,สนใจ AI,ไม่สนใจ iService,,,,0.ยังไม่ได้ติดต่อ,,
218,CA0000768,คลินิกเวชกรรมหมอสารีฝ๊ะ,นราธิวาส,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,รอพิจารณา,CA0000768,รอพิจารณา,รอพิจารณา,30/1/2026,"ไม่รับสาย
30/1/2026 คนไข้น้อย ไมรู้จะเอามาวิเคราะห์อะไร มีสอบถามเพิ่มเติมเกี่ยวกับการใช้งายนรบะบบเพิ่มเติม",,0.ยังไม่ได้ติดต่อ,,
219,CA0000228,รักษ์สุขภาพเคหะธนคลินิกเวชกรรม,กรุงเทพมหานคร,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,รอพิจารณา,CA0000228,รอพิจารณา,รอพิจารณา,13/1/2026,เครือรักสุขภาพ,,0.ยังไม่ได้ติดต่อ,,
220,CA0000134,รักษ์สุขภาพดินแดงคลินิกเวชกรรม,กรุงเทพมหานคร,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,รอพิจารณา,CA0000134,รอพิจารณา,รอพิจารณา,13/1/2026,เครือรักสุขภาพ,,0.ยังไม่ได้ติดต่อ,,
221,55466,คลินิกเวชกรรมบ้านหมอ,เชียงราย,ธนวิชญ์ สถิตคุณอนันต์,-,-,,,,-,,,,ติดต่อใหม่,55466,ติดต่อใหม่,ติดต่อใหม่,30/1/2026,"หมอแจ้งวาตอนนี้ตรวจคนไข้อยู่ อาจจะยังไม่สะดวกค้าบ
30/1/2026 ไม่รับสาย",,0.ยังไม่ได้ติดต่อ,,
222,55905,คลินิกเวชกรรมแพทย์หญิงอภิญญา,ร้อยเอ็ด,ณิชกุล เจริญสุข,-,-,,,,-,,,,ติดต่อใหม่,55905,ติดต่อใหม่,ติดต่อใหม่,26/2/2026,"ไม่รับสาย
30/1/2026 ไม่รับสาย
13/02/26 โทรไม่ติด
18/02/26 ไม่รับสาย
19/02/26 ไม่รับสาย
20/02/26 ไม่รับสาย 17.17 น.
24/02/26 ไม่รับสาย 17.05 น.
25/02/26 ไม่รับสาย 16.44 น.
26/02/26 ไม่รับสาย 17.15 น.",,0.ยังไม่ได้ติดต่อ,,
223,CA0000229,ห่วงใยเฮลท์คลินิกเวชกรรม,กรุงเทพมหานคร,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,รอพิจารณา,CA0000229,รอพิจารณา,รอพิจารณา,13/1/2026,เครือรักสุขภาพ,,0.ยังไม่ได้ติดต่อ,,
224,55686,คลินิกเวชกรรมหมอธนชัย-เจษฎา,พะเยา,ธวัชชัย รุ่งเสถียรภูธร,-,-,,,,2. นำส่ง User ให้ลูกค้าเเล้ว,22/1/2026,ยังไม่ได้เริ่มใช้งาน เดี๋ยวจะลองใช้งานและจะ feedback ให้อีกครั้ง (1-2 สัปดาห์นับจากวันที่ 12/2/2026 ตรวจสอบ log และติดตามใหม่),,สนใจ iService,55686,ไม่สนใจ AI,สนใจ iService,22/1/2026,สนใจ iservice,มี iservice,0.ยังไม่ได้ติดต่อ,,
225,41576,คลินิกหมอสมดั่งใจ คลินิกเฉพาะทางด้านเวชกรรมสาขลาเวชศาสตร์ครอบครัว,สุราษฎร์ธานี,จตุพร ผาสุจิต,-,-,,,,-,,,,ติดต่อใหม่,41576,ติดต่อใหม่,ติดต่อใหม่,20/2/2026,"ไม่รับสาย
30/1/2026 ขับรถอยู่
20/02/26 หมอแจ้งว่า หมอตรวจคนไข้อยู่ค่า 17.26 น.",,0.ยังไม่ได้ติดต่อ,,
226,54301,คลินิกเวชกรรมเฉพาะทางด้านอายุรกรรมแพทย์ทหาร,อุตรดิตถ์,จตุพร ผาสุจิต,-,-,,,,-,,,,ติดต่อใหม่,54301,ติดต่อใหม่,ติดต่อใหม่,30/1/2026,"หมอเเจ้งว่า ไม่ค่อยว่า เดี๋ยวให้เลขาติดต่อ
30/1/2026 ไม่รับสาย",,0.ยังไม่ได้ติดต่อ,,
227,49198,คลินิกเวชกรรมนายแพทย์นราศักดิ์,สุรินทร์,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,49198,ไม่สนใจ AI,ไม่สนใจ iService,22/1/2026,หมอยังไม่สนใจ,,0.ยังไม่ได้ติดต่อ,,
228,CA0000518,คลินิกเวชกรรมหมอขวัญ,ร้อยเอ็ด,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,CA0000518,ไม่สนใจ AI,ไม่สนใจ iService,22/1/2026,ตอนนยังค่ะ,,0.ยังไม่ได้ติดต่อ,,
229,54316,คลินิกเวชกรรมแพทย์หญิงยุวธิดา,เพชรบูรณ์,จตุพร ผาสุจิต,-,-,,,,-,,,,ติดต่อใหม่,54316,ติดต่อใหม่,ติดต่อใหม่,30/1/2026,"คุณหมอขับรถ เดี๋ยวคุณรอขอติดตามข้อมูลหลัง reactivate เสร็จ 
30/1/2026 เดวค่อยคุยกันนะ ตอนนี้ิอย่ข้างถนน",,0.ยังไม่ได้ติดต่อ,,
230,CA0000606,แม่ตืนคลินิกเวชกรรม,ลำพูน,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,CA0000606,ไม่สนใจ AI,ไม่สนใจ iService,22/1/2026,ไม่ได้ใช้ระบบ เนื่องจากไม่ได้เคลมกัล สปสช.,,0.ยังไม่ได้ติดต่อ,,
231,CA0000047,ปวริศ เวลเนส คลินิกเวชกรรม สาขาคุรุ,ยะลา,จตุพร ผาสุจิต,-,-,,,,-,,,,รอพิจารณา,CA0000047,รอพิจารณา,รอพิจารณา,30/1/2026,30/1/2026 มีส่งข้อมูลให้ทางผู้จัดการแล้ว,,0.ยังไม่ได้ติดต่อ,,
232,CA0000931,คลินิกเวชกรรมนายแพทย์อภิจักร,พิจิตร,ชลธิชา ช่วยพันธ์,2.4 ทางคลินิกกด Activate,อยู่ระหว่างสมัคร Provider ID,20/2/2026,พี่น้ำฝนนำเข้าข้อมูลให้เเล้ว รอหมอกด activate,,0. แจ้ง BD เปิดระบบ iservice,20/2/2026,20/02/26 รอใช้พร้อม AI,,สนใจ AI+iService,CA0000931,สนใจ AI,สนใจ iService,19/2/2026,"ไม่รับสาย
13/02/26 หมอเเจ้งว่า อีก 5 นาทีติดต่อกลับได้ไหม
19/02/26 หมอเเจ้งว่า สนใจทั้ง 2 ระบบ",,0.ยังไม่ได้ติดต่อ,,
233,CA0001681,คลินิกเวชกรรมครอบครัวปัตตานี,ปัตตานี,ธนาภรณ์ สายทองดี,-,-,,,,-,,,,ติดต่อใหม่,CA0001681,ติดต่อใหม่,ติดต่อใหม่,24/2/2026,"23/01/26 หมอติดตรวจคนไข้อยู่ค่า
24/02/26 หมอติดคนไข้เยอะเลย",,0.ยังไม่ได้ติดต่อ,,
234,CA0000248,คลินิกเวชกรรมบ้านห้วยต้ม,ลำพูน,ปาณิสรา ตรีรัตนธำรง,-,-,,,,2. นำส่ง User ให้ลูกค้าเเล้ว,20/2/2026,"ยังไม่มีการเข้าใช้งาน
20/02/26 ยังไม่มีเวลาใช้งาน",,สนใจ iService,CA0000248,ไม่สนใจ AI,สนใจ iService,22/1/2026,สนใจ iservice,มี iservice,0.ยังไม่ได้ติดต่อ,,
235,CA0000975,คลินิกเวชกรรมบ้านหมอก้อย,พิจิตร,ธนาภรณ์ สายทองดี,-,-,,,,-,,,,ติดต่อใหม่,CA0000975,ติดต่อใหม่,ติดต่อใหม่,23/1/2026,หมอเเจ้งว่า ออก OPD อญู่อะค่ะ เดี๋ยวโทรกลับตอนเที่ยงได้ไหมคะ,,0.ยังไม่ได้ติดต่อ,,
236,CA0000837,แพทย์เขาแดงคลินิกเวชกรรม,นครสวรรค์,อริสรา ส่วนบุญ,-,-,,,,3. ลูกค้าทดลองใช้,06/12/2025,,,สนใจ iService,CA0000837,ไม่สนใจ AI,สนใจ iService,23/1/2026,ประชาสัมพันธ์ AI เเล้ว,มี iservice,0.ยังไม่ได้ติดต่อ,,
237,CA0001529,คลินิกเวชกรรมนายแพทย์ศักดิ์ดา,นครสวรรค์,ธวัชชัย รุ่งเสถียรภูธร,1.1 ส่งให้ลูกค้ากรอก,อยู่ระหว่างสมัคร Provider ID,24/2/2026,"23/02/26 พี่จ๊อยเชิญชวนตุณหมอแล้ว เเจ้งว่าหมอสนใจทุกระบบ
24/02/26 ไนซ์กรอกข้อมูลได้ไม่ครบ หมอไม่แนบใบ สพ.7กับ สพ19",,0. แจ้ง BD เปิดระบบ iservice,23/2/2026,23/02/26 พี่จ๊อยเชิญชวนตุณหมอแล้ว เเจ้งว่าหมอสนใจทุกระบบ,,สนใจ AI+iService,CA0001529,สนใจ AI,สนใจ iService,23/1/2026,หมอเเจ้งว่่ายังติดงานอยู่เลยคับ เอาเป็นซักตอนเที่ยงหรือหลังเที่ยงก็ได้ครับ,,0.ยังไม่ได้ติดต่อ,,
238,19247,คลินิกเวชกรรมหมอสุกิจ,พะเยา,จตุพร ผาสุจิต,-,-,,,,3. ลูกค้าทดลองใช้,27/1/2026,27/02/26 ใช้งานวันนีิ,,สนใจ iService,19247,ไม่สนใจ AI,สนใจ iService,23/1/2026,ประชาสัมพันธ์ AI เเล้ว หมอเเจ้งว่า ยังไงจะลองเข้าไปศึกษาดู,มี iservice,0.ยังไม่ได้ติดต่อ,,
239,CA0000585,คลินิกเวชกรรมหมอฐิตาภรณ์,มหาสารคาม,จตุพร ผาสุจิต,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,CA0000585,ไม่สนใจ AI,ไม่สนใจ iService,24/2/2026,"23/01/26 หมอแจ้งว่า พอดีตรวจคนไข้อยู่ค่า
24/02/26 หมอจะปิดคลินิกเเล้ว ไม่ทำเเล้ว แต่มีผอ.สนใจจะแนะนำให้",,0.ยังไม่ได้ติดต่อ,,
240,CA0000252,ใกล้หมอคลินิกเวชกรรม สาขาประโคนชัย,บุรีรัมย์,ณิชกุล เจริญสุข,1.1 ส่งให้ลูกค้ากรอก,8.ไม่สนใจ,20/02/2026,16/01/26 อายส่งไฟล์ให้ลูกค้ากรอก 11/2 ถามฟีดแบคแล้วคุณหมอยังไม่มีเวลามาใช้งาน 20/2 หมอแจ้งว่ายังไม่จำเป็น จึงไม่สนใจใช้งาน,,4.ทดลองใช้เเล้วยกเลิก,20/2/2026,"13/01/26 เปิดระบบ นำส่งให้ลูกค้า
13/02/26 ลูกค้าใช้งานล่าสุด
20-/02/26 ตัวระบบดึง Report ได้ดี แต่สำหรับคลินิกยังไม่จำเป็น ขอยกเลิกการใช้งานก่อน",ตัวระบบดึง Report ได้ดี แต่สำหรับคลินิกยังไม่จำเป็น ขอยกเลิกการใช้งานก่อน,สนใจ iService,CA0000252,ไม่สนใจ AI,สนใจ iService,20/2/2026,"คุณหมอแจ้งว่า สนใจทั้ง 2 ระบบ 
20/02/26 หมอไม่สนใจ AI แล้ว และขอยกเลิกใช้ iservice",มี iservice,0.ยังไม่ได้ติดต่อ,,
241,CA0000795,รักษ์สุขภาพบางบอน 1 คลินิกเวชกรรม,กรุงเทพมหานคร,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,รอพิจารณา,CA0000795,รอพิจารณา,รอพิจารณา,13/1/2026,เครือรักสุขภาพ,,0.ยังไม่ได้ติดต่อ,,
242,CA0000733,รักษ์สุขภาพพระราม 2 คลินิกเวชกรรม,กรุงเทพมหานคร,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,รอพิจารณา,CA0000733,รอพิจารณา,รอพิจารณา,13/1/2026,เครือรักสุขภาพ,,0.ยังไม่ได้ติดต่อ,,
243,CA0000644,รักษ์ดอนเมืองคลินิกเวชกรรม,กรุงเทพมหานคร,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,รอพิจารณา,CA0000644,รอพิจารณา,รอพิจารณา,13/1/2026,เครือรักสุขภาพ,,0.ยังไม่ได้ติดต่อ,,
244,CA0000963,รักษ์รามมงคลคลินิกเวชกรรม,กรุงเทพมหานคร,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,รอพิจารณา,CA0000963,รอพิจารณา,รอพิจารณา,13/1/2026,เครือรักสุขภาพ,,0.ยังไม่ได้ติดต่อ,,
245,CA0000926,รักษ์สุขภาพสะแกงาม 5 คลินิกเวชกรรม,กรุงเทพมหานคร,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,รอพิจารณา,CA0000926,รอพิจารณา,รอพิจารณา,13/1/2026,เครือรักสุขภาพ,,0.ยังไม่ได้ติดต่อ,,
246,CA0000943,เรือนรักษ์ษาคลินิกเวชกรรม,กรุงเทพมหานคร,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,รอพิจารณา,CA0000943,รอพิจารณา,รอพิจารณา,13/1/2026,เครือรักสุขภาพ,,0.ยังไม่ได้ติดต่อ,,
247,CA0001030,รักษ์ทุ่งสองห้องคลินิกเวชกรรม,กรุงเทพมหานคร,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,รอพิจารณา,CA0001030,รอพิจารณา,รอพิจารณา,13/1/2026,เครือรักสุขภาพ,,0.ยังไม่ได้ติดต่อ,,
248,CA0001379,ชีวกัญคลีนิกการแพทย์แผนไทย,สมุทรปราการ,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,CA0001379,ไม่สนใจ AI,ไม่สนใจ iService,23/1/2026,หมอเเจ้งว่า ตอนนี้ยังค่า,,0.ยังไม่ได้ติดต่อ,,
249,55805,คลินิกเวชกรรมแพทย์ศุภวิชญ์-ศิริลักษ์,เชียงราย,ณิชกุล เจริญสุข,-,-,,,,2. นำส่ง User ให้ลูกค้าเเล้ว,17/2/2026,"09/01/26 เปิดระบบ นำส่งให้ลูกค้า
17/02/26 BD ติดตาม ลูกค้าเเจ้งว่าจะทดลองใช้",,สนใจ iService,55805,ไม่สนใจ AI,สนใจ iService,23/1/2026,สนใจ iservice,มี iservice,0.ยังไม่ได้ติดต่อ,,
250,CA0000166,คลินิกเวชกรรมหมอพร้อม,ร้อยเอ็ด,จตุพร ผาสุจิต,3.มี Provider ID สำหรับคลินิกเเล้ว,5.1 Training การใช้งาน,10/02/2026,รอนัดหมายเทรนนิ่ง สอนการใช้งาน,,-,,,,สนใจ AI,CA0000166,สนใจ AI,ไม่สนใจ iService,10/2/2026,สนใจ iservice,,0.ยังไม่ได้ติดต่อ,,
251,CA0001198,คลินิกเวชกรรมแพทย์หญิงณัชฎา,อุบลราชธานี,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,รอพิจารณา,CA0001198,รอพิจารณา,รอพิจารณา,23/1/2026,ขอสอบถามคุณหมอผู้ชายก่อน,,0.ยังไม่ได้ติดต่อ,,
252,51775,คลินิกเวชกรรมนายแพทย์ชาคริตร์,เพชรบูรณ์,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ติดต่อใหม่,51775,ติดต่อใหม่,ติดต่อใหม่,19/2/2026,"23/01/26 หมอแจ้งว่าติดงานอยู่ครับ 13.36 น.
19/02/26 แจ้งว่า อ๋อยังๆ ติดงานอยู่ 16.34 น.",,0.ยังไม่ได้ติดต่อ,,
253,CA0001357,คลินิกเวชกรรมนายแพทย์คิมธวัช,บุรีรัมย์,จตุพร ผาสุจิต,-,-,,,,-,,,,ติดต่อใหม่,CA0001357,ติดต่อใหม่,ติดต่อใหม่,24/2/2026,"23/01/26 หมอแจ้งว่า ติดงานอยู่ครับ โทรช่วงเย็นนะครับ
24/02/26 ไม่รับสาย",,0.ยังไม่ได้ติดต่อ,,
254,51148,คลินิกเวชกรรมนายแพทย์กุลพล,น่าน,จตุพร ผาสุจิต,-,-,,,,2. นำส่ง User ให้ลูกค้าเเล้ว,27/2/2026,"และ ตรงรายงานสรุปค่าใช้จ่ายของข้าราชการ กับ ประกันสังคม ไม่ขึ้น
27/2/2026 แจ้งว่ายังไม่มีเวลาเข้าใช้งาน",,สนใจ iService,51148,ไม่สนใจ AI,สนใจ iService,23/1/2026,สนใจ iservice,มี iservice,0.ยังไม่ได้ติดต่อ,,
255,54065,คลินิกเวชกรรมอุ่นใจ๋,น่าน,ธนวิชญ์ สถิตคุณอนันต์,-,-,,,,-,,,,ติดต่อใหม่,54065,ติดต่อใหม่,ติดต่อใหม่,23/1/2026,เเจ้งว่าติดงานอยู่ค่า,,0.ยังไม่ได้ติดต่อ,,
256,CA0001639,คลินิกเวชกรรมหมอฝน,ยะลา,ธนวิชญ์ สถิตคุณอนันต์,-,-,,,,3. ลูกค้าทดลองใช้,16/12/2025,16/12/25 ใช้งานล่าสุด,,สนใจ iService,CA0001639,ไม่สนใจ AI,สนใจ iService,23/1/2026,,มี iservice,0.ยังไม่ได้ติดต่อ,,
257,CA0000532,คลินิกเวชกรรมนายแพทย์พิชยา,กาฬสินธุ์,ณิชกุล เจริญสุข,-,-,,,,-,,,,รอพิจารณา,CA0000532,รอพิจารณา,รอพิจารณา,23/1/2026,แจ้งให้คุณอายส่งรายละเอียดมาทางไลน์,,0.ยังไม่ได้ติดต่อ,,
258,CA0000150,คลินิกเวชกรรมแพทย์พรหมมินทร์,สมุทรสงคราม,ศิรภัสสร ฐิตะจิราพงษ์,-,-,,,,-,,,,ติดต่อใหม่,CA0000150,ติดต่อใหม่,ติดต่อใหม่,24/2/2026,"23/01/26 หมอเเจ้งว่าติดงานอยู่คับ
24/02/26 ไม่รับสาย",,0.ยังไม่ได้ติดต่อ,,
259,55919,คลินิกเวชกรรม​ ​หมอณัฐพงศ์,ลำปาง,ธนวิชญ์ สถิตคุณอนันต์,-,-,,,,-,,,,ติดต่อใหม่,55919,ติดต่อใหม่,ติดต่อใหม่,23/1/2026,หมอแจ้งว่าตอนนี้ตรวจคนไข้อยู่คับ เป็นตอนเย็นนะครับ 13.55 น.,,0.ยังไม่ได้ติดต่อ,,
260,CA0000801,คลินิกเวชกรรมหมอพันธกานต์,ลำปาง,ณิชกุล เจริญสุข,-,-,,,,-,,,,ติดต่อใหม่,CA0000801,ติดต่อใหม่,ติดต่อใหม่,24/2/2026,"หมอเฝ้าลูกนอนอยู่
19/02/26 ไม่ติด 
20/02/26 ไม่ติด 17.24 น.
24/02/26 หมอกำลังอาบน้ำ 17.07 น.",,0.ยังไม่ได้ติดต่อ,,
261,CA0001278,รักษ์รามประเวศคลินิกเวชกรรม,กรุงเทพมหานคร,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,รอพิจารณา,CA0001278,รอพิจารณา,รอพิจารณา,13/1/2026,เครือรักสุขภาพ,,0.ยังไม่ได้ติดต่อ,,
262,CA0000315,คลินิกเวชกรรมแพทย์หญิงยุวธิดา,เพชรบูรณ์,จตุพร ผาสุจิต,-,-,,,,-,,,,ติดต่อใหม่,CA0000315,ติดต่อใหม่,ติดต่อใหม่,23/1/2026,คุณหมอขับรถ เดี๋ยวคุณรอขอติดตามข้อมูลหลัง reactivate เสร็จ ,,0.ยังไม่ได้ติดต่อ,,
263,CA0000464,คลินิกเวชกรรมแพทย์หญิงเพชราภรณ์,พะเยา,จตุพร ผาสุจิต,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,CA0000464,ไม่สนใจ AI,ไม่สนใจ iService,23/1/2026,หมอแจ้งว่ายังค่ะๆ,,0.ยังไม่ได้ติดต่อ,,
264,CA0000804,คลินิกเวชกรรมเจริญรักษ์การแพทย์,ศรีสะเกษ,อริสรา ส่วนบุญ,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,CA0000804,ไม่สนใจ AI,ไม่สนใจ iService,23/1/2026,บอกเเจ้งว่ายังคับ ยังใช้อันเดิมอยู่ครับ,,0.ยังไม่ได้ติดต่อ,,
265,CA0000490,คลินิกเวชกรรมเจริญรักษ์การแพทย์ สาขาขุนหาญ,ศรีสะเกษ,อริสรา ส่วนบุญ,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,CA0000490,ไม่สนใจ AI,ไม่สนใจ iService,23/1/2026,,,0.ยังไม่ได้ติดต่อ,,
266,CA0001265,หมอภูริณัฐคลินิกเวชกรรม,เชียงใหม่,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,CA0001265,ไม่สนใจ AI,ไม่สนใจ iService,14/1/2026,มีปัญหาเรื่องสิทธิบัตรทอง เลยยังไม่ค่อยได้ใช้ระบบ,,0.ยังไม่ได้ติดต่อ,,
267,45163,อยู่ดีมีสุขคลินิกเวชกรรม,กรุงเทพมหานคร,ธนาภรณ์ สายทองดี,0.ยังไม่มี Provider ID สำหรับคลินิก,แจ้ง BD ส่งเอกสาร Provider ID,20/2/2026,,,2. นำส่ง User ให้ลูกค้าเเล้ว,27/2/2026,27/02/26 แจ้งว่า จะนำส่ง User ให้ลูกค้าวันนี้ ติดตาม BD ,,สนใจ AI+iService,45163,สนใจ AI,สนใจ iService,19/2/2026,"ไม่รับสาย
12/02/26 ไม่รับสาย
13/02/26 ไม่รับสาย
18/02/26 ไม่รับสาย
19/02/26 หมอเเจ้งว่า สนใจทั้ง 2 ระบบ",,0.ยังไม่ได้ติดต่อ,,
268,55073,คลินิกเวชกรรมนิคมนวนคร,ปทุมธานี,ธวัชชัย รุ่งเสถียรภูธร,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,55073,ไม่สนใจ AI,ไม่สนใจ iService,15/1/2026,ทางคลินิกเเจ้งว่า ตอนนี้ยังไม่สนใจค่า เนื่องจากระบบใหม่ของ สปสช.,,0.ยังไม่ได้ติดต่อ,,
269,26129,คลินิกเวชกรรมหมอเฉลิมชัย,แพร่,ณิชกุล เจริญสุข,-,-,,,,-,,,,รอพิจารณา,26129,รอพิจารณา,รอพิจารณา,23/1/2026,หมอแจ้งว่า เดี๋ยวขอศึกษาดูก่อนเนาะ,,0.ยังไม่ได้ติดต่อ,,
